Model,Parameters,MAE,MSE,R2
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",3.4139921569856075,18.98867274329709,0.3282351033654358
GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 150}",3.6277812160471488,20.59198014910917,0.2715146759664764
